"主机名","目录名称样例","类别代码","风险类别","判定依据"
"wvvw.gzvnet.cn","赣州网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.gzxinxiw.com","贵州信息网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.haichanvv.cn","青海传媒网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.hbdushi.net","华北热线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.hbscw.net","淮北热线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.hbvnet.net","河蚌热线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.hbwin.cn","河北之窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.hbwin.net","淮滨之窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.hbxinxi.net","海报信息网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.hddaily.net","山东都市","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.hebeidushi.com","鹤壁热线 / 鹤壁热线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.hljdushi.com","魅力河南","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.hljnewsw.com","海岭热线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.hljscw.net","海林在线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.hljxx.net","华里信息网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.hljzc.net","环境之窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.hn126.net","魅力湖南","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.hn163.net","湖南视窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.hndaily.net","河南在线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.hnnewsw.com","湖南新闻网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.hnxinxi.net","河南信息网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.huabeiw.com","中国华北网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.huluobovv.cn","广东资讯网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.huluobow.com.cn","宁波网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.hzrxw.com","华中热线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.iltuoufficio.com","法国时尚报","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.imprentta.com","女性时代杂志","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.infobj.com","信息北京","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.infogz.com","贵州信息港","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.ingencenter.com","世界足球报","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.investmarque.com","加拿大时代变电站","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.iyaogvo.cn","怀柔资讯网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.iyouta0.cn","江津资讯网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.izhusvn.cn","商务财经网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.jfkvip.cn","行医问药网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.jiucalw.cn","今日青海","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.jiunin.cn","河南企业网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.jkmv.cn","吉林头条网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.jl126.com","金陵热线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.jldushi.com","魅力海南","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.jlrxw.cn","魅力内蒙古","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.jlscw.net","金陵视窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.jlxinwen.com","江陵新闻","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.jscity.cn","江苏城市","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.jsdushiw.com","金山都市 / 金山都市","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.jsnewsw.com","吉首新闻网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.jswin.cn","建设之窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.jswin.net","嘉山之窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.jsxinxi.net","京山信息网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.jxscw.net","嘉兴视窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.jxxinwen.net","蓟县新闻网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.jxxinxi.cn","冀县信息网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.kejio1.cn","北京资讯网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.kuanne.cn","湖北企业网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.kunchongvv.cn","东城生活网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.laicaiw.com","广西热线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.liabai.cn","河北企业网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.lianmengvv.cn","重庆移动网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.liaoningw.com","辽南网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.linyevv.cn","上海头条网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.littlesirs.com","瑞士金融时报","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.liulianvv.cn","云南生活网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.ln163.cn","滦南信息港","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.lndushi.com","广西信息港","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.lnrxw.cn","广西之声","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.lnscw.cn","岭南视窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.lnxww.net","龙南热线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.luob0w.cn","津城在线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.maliglobe.com","能源生活报","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.maqvew.cn","山东网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.meitlw.com.cn","渝城在线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.mg80w.cn","六安城市网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.mingxingvv.cn","重庆生活网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.newsputnik.com","洛杉矶时报网 / 纽约每日网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.nfinfo.cn","魅力广西","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.nintlan.cn","粤城在线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.ninxlan.cn","南京生活网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.ninzuo.cn","天津企业网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.njvnet.com","魅力江南","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.nmgol.net","农民在线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.nmgrxw.com","内蒙古之窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.nmgxinwen.net","南门新闻网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.nmgxx.net","农贸信息网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.noblemadmax.com","荷兰之声","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.nvdai1y.cn","内蒙古传媒网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.nvnevvs.com.cn","贵城在线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.nyc-transit.com","数字商行报","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.o90z.cn","安徽资讯网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.ofinance.cn","四川都市","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.onlinesh.net","生活在线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.portaldealana.com","美国财富日报","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.qcle.cn","南京移动网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.qclu.cn","今日贵州","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.qhdushi.com","魅力山西","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.qhscw.net","琼海视窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.qhxinwen.com","期货新闻网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.qhxinxi.cn","邛海信息 / 邛海信息","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.qing1ia.cn","重庆资讯","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.qingjia0w.cn","广东讯息网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.quqc.cn","重庆手机网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.redaiyvw.cn","今日辽宁","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.rslbp.cn","商讯中国","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.sc126.net","山川信息港","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.scrxw.cn","市场热线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.scwin.cn","市场视窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.scxinxi.com","遂昌信息网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.sd126.cn","首都信息港","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.sdnewsw.com","首都新闻网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.sdolw.com","首都在线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.sdwin.cn","世代之窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.shaichuan.cn","江苏企业网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.shaihang.cn","上海企业网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.shdushi.net","广州之声","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.shnewsw.com","社会资讯网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.shscw.net","泗洪视窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.shvnet.net","上海信息港","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.shxinxiw.com","商会信息网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.skyworthmobile.cn","汽车行业网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.staceykafka.com","商业杂志报","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.sudetenbote.com","华沙之声","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
